item,juiz,resposta,tem_ressalva,ressalva
1,1,Sim,0,
2,1,Sim,0,
3,1,Sim,0,
4,1,Sim,1,"Talvez trocaria a palavra ""racista"" por ""inadequado"" ou ""ruins"", porque o termo ""racista"" pode não ser compreendido em sua totatlidade."
5,1,Sim,0,
6,1,Sim,0,
7,1,Sim,0,
8,1,Sim,0,
9,1,Sim,0,
10,1,Sim,0,
11,1,Sim,0,
12,1,Sim,0,
13,1,Não,1,Me parece que faz parte do desenvolvimento humano e maturidade (A pessoa faria as mesmas atividades aqui? No Brasil há mais ou menos condições para realizar atividades?) Atividades de lazer ou de trabalho?. Está muito ampla a questão
14,1,Sim,0,
15,1,Não,1,"É redundante, e óbvio, a não ser que a pessoa não goste de seus familiares. Ou perguntar de forma escalonada: ""Sinto tristeza todos os dias por não estar reunido com meus familiares "" ou ""Choro todos os dias por não estar reunido com meus familiares""..."
16,1,Sim,0,
17,1,Sim,1,"Talvez trocar ""status social"" por ""condições sociais"""
18,1,Sim,0,
19,1,Sim,0,
20,1,Sim,0,
21,1,Sim,0,
1,2,Sim,0,
2,2,Sim,0,
3,2,Sim,0,
4,2,Sim,0,
5,2,Sim,0,
6,2,Sim,0,
7,2,Sim,0,
8,2,Sim,0,
9,2,Sim,0,
10,2,Sim,0,
11,2,Sim,0,
12,2,Sim,0,
13,2,Sim,0,
14,2,Sim,0,
15,2,Sim,0,
16,2,Sim,0,
17,2,Sim,0,
18,2,Sim,0,
19,2,Sim,0,
20,2,Sim,0,
21,2,Sim,0,
1,3,Sim,0,
2,3,Sim,0,
3,3,Sim,0,
4,3,Sim,0,
5,3,Sim,0,
6,3,Sim,0,
7,3,Sim,0,
8,3,Sim,0,
9,3,Sim,0,
10,3,Sim,0,
11,3,Sim,0,
12,3,Sim,0,
13,3,Sim,0,
14,3,Sim,0,
15,3,Sim,0,
16,3,Sim,0,
17,3,Sim,0,
18,3,Sim,0,
19,3,Sim,0,
20,3,Sim,0,
21,3,Sim,0,
1,4,Sim,0,
2,4,Sim,0,
3,4,Sim,0,
4,4,Sim,0,
5,4,Sim,1,Obs: falar sobre sotaque
6,4,Sim,0,
7,4,Sim,0,
8,4,Sim,1,Obs: falar sobre acesso a oportunidades de trabalho de acordo com a formação do refugiado
9,4,Sim,0,
10,4,Sim,1,...E o envio de dinheiro ao país de origem
11,4,Sim,0,
12,4,Sim,0,
13,4,Sim,0,
14,4,Sim,0,
15,4,Sim,0,
16,4,Sim,0,
17,4,Sim,0,
18,4,Sim,0,
19,4,Sim,0,
20,4,Não,1,Questões muito pessoais os refugiados não gostam de dar resposta
21,4,Não,1,Questões muito pessoais os refugiados não gostam de dar resposta
