item,juiz,resposta,tem_ressalva,ressalva
1,1,Sim,0,
2,1,Sim,0,
3,1,Sim,0,
4,1,Sim,0,
5,1,Sim,0,
6,1,Sim,0,
7,1,Sim,0,
8,1,Sim,0,
9,1,Sim,0,
10,1,Sim,0,
11,1,Sim,0,
12,1,Sim,0,
13,1,Sim,0,
14,1,Sim,0,
15,1,Sim,0,
16,1,Sim,0,
17,1,Sim,0,
18,1,Sim,0,
19,1,Sim,0,
20,1,Sim,0,
21,1,Sim,0,
1,2,Sim,0,
2,2,Sim,0,
3,2,Sim,0,
4,2,Sim,0,
5,2,Sim,0,
6,2,Sim,0,
7,2,Sim,0,
8,2,Sim,0,
9,2,Sim,0,
10,2,Sim,0,
11,2,Sim,0,
12,2,Sim,0,
13,2,Sim,0,
14,2,Sim,0,
15,2,Sim,0,
16,2,Sim,0,
17,2,Sim,0,
18,2,Sim,0,
19,2,Sim,0,
20,2,Sim,0,
21,2,Sim,0,
1,3,Sim,0,
2,3,Sim,0,
3,3,Sim,0,
4,3,Sim,0,
5,3,Sim,0,
6,3,Sim,0,
7,3,Sim,0,
8,3,Sim,0,
9,3,Sim,0,
10,3,Sim,0,
11,3,Sim,0,
12,3,Sim,0,
13,3,Sim,0,
14,3,Sim,0,
15,3,Sim,0,
16,3,Sim,0,
17,3,Sim,0,
18,3,Sim,0,
19,3,Sim,0,
20,3,Sim,0,
21,3,Sim,0,
1,4,Sim,0,
2,4,Sim,0,
3,4,Sim,0,
4,4,Sim,0,
5,4,Sim,0,
6,4,Sim,1,"porém a palavra deslocamento não é muito entendível pela maioria dos estrangeiros, talvez utilizar “transporte” seja mais fácil pra eles. Adicionar “saúde” também ou dava para separar essas atividades e que eles enumerassem do 1 até 5 qual dessas atividades demoraram mais pra compreender."
7,4,Sim,0,
8,4,Sim,0,
9,4,Sim,0,
10,4,Sim,0,
11,4,Sim,0,
12,4,Sim,0,
13,4,Sim,0,
14,4,Sim,0,
15,4,Sim,0,
16,4,Sim,0,
17,4,Sim,0,
18,4,Sim,0,
19,4,Sim,0,
20,4,Sim,0,
21,4,Sim,0,
